Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 20:35:59,30.97,1, , , , 
2022-06-13 20:37:59,31.01,0, , , , 
2022-06-13 20:39:59,30.93,0, , , , 
2022-06-13 20:41:59,30.89,1, , , , 
2022-06-13 20:43:59,30.93,1, , , , 
2022-06-13 20:45:59,30.84,1, , , , 
2022-06-13 20:47:59,30.93,0, , , , 
2022-06-13 20:49:59,30.84,0, , , , 
2022-06-13 20:51:59,30.84,1, , , , 
2022-06-13 20:53:59,30.80,0, , , , 
2022-06-13 20:55:59,30.76,0, , , , 
2022-06-13 20:57:59,30.80,0, , , , 
2022-06-13 20:59:59,30.80,0, , , , 
2022-06-13 21:01:59,30.67,1, , , , 
2022-06-13 21:03:59,30.71,1, , , , 
2022-06-13 21:05:59,30.67,1, , , , 
2022-06-13 21:07:59,30.63,1, , , , 
2022-06-13 21:09:59,30.63,1, , , , 
2022-06-13 21:11:59,30.63,1, , , , 
2022-06-13 21:13:59,30.59,1, , , , 
2022-06-13 21:15:59,30.59,1, , , , 
2022-06-13 21:17:59,30.54,1, , , , 
2022-06-13 21:19:59,30.50,1, , , , 
2022-06-13 21:21:59,30.54,1, , , , 
2022-06-13 21:23:59,30.50,1, , , , 
2022-06-13 21:25:59,30.50,1, , , , 
2022-06-13 21:27:59,30.46,1, , , , 
2022-06-13 21:29:59,30.46,1, , , , 
2022-06-13 21:31:59,30.41,1, , , , 
2022-06-13 21:33:59,30.37,0, , , , 
2022-06-13 21:35:59,30.37,0, , , , 
2022-06-13 21:37:59,30.37,0, , , , 
2022-06-13 21:39:59,30.37,0, , , , 
2022-06-13 21:41:59,30.28,0, , , , 
2022-06-13 21:43:59,30.33,1, , , , 
2022-06-13 21:45:59,30.28,1, , , , 
2022-06-13 21:47:07, , ,Logged,Logged, , 
2022-06-13 21:47:59,29.34,45, , , , 
2022-06-13 21:48:35, , , , ,Logged, 
2022-06-13 21:49:59,28.65,39, , , , 
2022-06-13 21:51:59,28.31,35, , , , 
2022-06-13 21:53:59,28.27,35, , , , 
2022-06-13 21:55:59,28.53,5, , , , 
2022-06-13 21:57:59,28.10,5, , , , 
2022-06-13 21:59:59,27.93,4, , , , 
2022-06-13 22:01:59,27.80,5, , , , 
2022-06-13 22:03:59,27.84,5, , , , 
2022-06-13 22:05:59,27.75,5, , , , 
2022-06-13 22:07:59,27.75,5, , , , 
2022-06-13 22:09:59,27.75,5, , , , 
2022-06-13 22:11:59,27.75,0, , , , 
2022-06-13 22:13:59,27.80,0, , , , 
2022-06-13 22:15:59,27.84,0, , , , 
2022-06-13 22:17:59,27.84,0, , , , 
