Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,F8,FALSE,CR2Apal_30C_65,A,UNKNOWN,SYBR,None,25.73332405090332,25.536308288574219,0.27862101793289185,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95861114310828921,N,N,N,N,N,87.653961181640625,,,
69,F9,FALSE,CR2Apal_30C_66,Apal,UNKNOWN,SYBR,None,18.648359298706055,18.579780578613281,0.09698360413312912,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.59528670699324671,Y,N,N,N,N,75.154937744140625,,,
70,F10,FALSE,CR2Apal_30C_66,A,UNKNOWN,SYBR,None,24.402992248535156,24.458478927612305,0.078470014035701752,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95631923469456948,N,N,N,N,N,87.691726684570312,,,
71,F11,FALSE,CR2Apal_30C_66,Apal,UNKNOWN,SYBR,None,18.511203765869141,18.579780578613281,0.09698360413312912,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.56708313210888817,Y,N,N,N,N,75.154403686523438,,,
72,F12,FALSE,CR2Apal_30C_66,A,UNKNOWN,SYBR,None,24.513965606689453,24.458478927612305,0.078470014035701752,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95936664150393114,N,N,N,N,N,87.681831359863281,,,
73,G1,FALSE,CR2Apal_30C_69,Apal,UNKNOWN,SYBR,None,18.783653259277344,19.11680793762207,0.47115185856819153,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.45695818119380655,Y,N,N,N,N,75.017776489257812,,,
74,G2,FALSE,CR2Apal_30C_69,A,UNKNOWN,SYBR,None,24.410526275634766,24.292257308959961,0.16725757718086243,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96549796203637561,N,N,N,N,N,87.683784484863281,,,
75,G3,FALSE,CR2Apal_30C_69,Apal,UNKNOWN,SYBR,None,19.449962615966797,19.11680793762207,0.47115185856819153,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.64156088217944629,Y,N,N,N,N,74.856887817382812,,,
76,G4,FALSE,CR2Apal_30C_69,A,UNKNOWN,SYBR,None,24.173988342285156,24.292257308959961,0.16725757718086243,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.99000538076031541,N,N,N,N,N,87.515312194824219,,,
77,G5,FALSE,CR2Apal_30C_1,Apal,UNKNOWN,SYBR,None,19.287439346313477,19.255544662475586,0.045105893164873123,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.59487298319200865,Y,N,N,N,N,74.981338500976562,,,
78,G6,FALSE,CR2Apal_30C_1,A,UNKNOWN,SYBR,None,24.18446159362793,24.300870895385742,0.16462761163711548,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96330819892903508,N,N,N,N,N,87.635345458984375,,,
79,G7,FALSE,CR2Apal_30C_1,Apal,UNKNOWN,SYBR,None,19.223649978637695,19.255544662475586,0.045105893164873123,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.49054541350913033,Y,N,N,N,N,75.131767272949219,,,
80,G8,FALSE,CR2Apal_30C_1,A,UNKNOWN,SYBR,None,24.417280197143555,24.300870895385742,0.16462761163711548,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96440522103405102,N,N,N,N,N,87.7930908203125,,,
81,G9,FALSE,CR2Apal_30C_2,Apal,UNKNOWN,SYBR,None,21.284124374389648,21.382034301757812,0.13846419751644135,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47219678670891724,Y,N,N,N,N,75.154937744140625,,,
82,G10,FALSE,CR2Apal_30C_2,A,UNKNOWN,SYBR,None,23.079486846923828,23.143589019775391,0.090655513107776642,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96113711321782802,N,N,N,N,N,87.691726684570312,,,
83,G11,FALSE,CR2Apal_30C_2,Apal,UNKNOWN,SYBR,None,21.479942321777344,21.382034301757812,0.13846419751644135,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.52423637906966336,Y,N,N,N,N,75.154403686523438,,,
84,G12,FALSE,CR2Apal_30C_2,A,UNKNOWN,SYBR,None,23.207693099975586,23.143589019775391,0.090655513107776642,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.97973428350215952,N,N,N,N,N,87.821029663085938,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,84.48248291015625,88.658096313476562,81.420379638671875,66.109817504882812
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,84.621673583984375,88.101348876953125,93.808006286621094,70.146240234375
87,H3,FALSE,CR2Apal_30C_3,Apal,UNKNOWN,SYBR,None,18.696619033813477,18.811714172363281,0.16276775300502777,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.43127862616023688,Y,N,N,N,N,74.856887817382812,,,
88,H4,FALSE,CR2Apal_30C_3,A,UNKNOWN,SYBR,None,22.813098907470703,22.843341827392578,0.042771294713020325,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.97197420348123154,N,N,N,N,N,87.515312194824219,,,
