Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,E7,FALSE,CR2Apal_36C_100,Apal,UNKNOWN,SYBR,None,22.968255996704102,22.979104995727539,0.015342801809310913,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94023490963928325,4.5097413063049316,4.0484285354614258,74.987220764160156,,,,N,N,N,N
56,E8,FALSE,CR2Apal_36C_100,A,UNKNOWN,SYBR,None,31.737634658813477,30.592243194580078,1.6198267936706543,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.93806095057246108,4.0893702507019043,3.7291057109832764,87.891571044921875,,,,N,N,Y,N
57,E9,FALSE,CR2Apal_36C_101,Apal,UNKNOWN,SYBR,None,22.991521835327148,22.936912536621094,0.077229209244251251,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94153038563697011,4.4031190872192383,3.9602515697479248,75.1483154296875,,,,N,N,N,N
58,E10,FALSE,CR2Apal_36C_101,A,UNKNOWN,SYBR,None,27.525991439819336,27.919387817382812,0.55634516477584839,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95516441732247825,5.5216364860534668,5.0612034797668457,87.787498474121094,,,,N,N,Y,N
59,E11,FALSE,CR2Apal_36C_101,Apal,UNKNOWN,SYBR,None,22.882303237915039,22.936912536621094,0.077229209244251251,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.92068481161568938,4.1908731460571289,3.7929530143737793,74.999717712402344,,,,N,N,N,N
60,E12,FALSE,CR2Apal_36C_101,A,UNKNOWN,SYBR,None,28.312782287597656,27.919387817382812,0.55634516477584839,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95387324202459356,5.3617606163024902,4.8584437370300293,87.769248962402344,,,,N,N,Y,N
61,F1,FALSE,CR2Apal_36C_102,Apal,UNKNOWN,SYBR,None,24.614301681518555,24.565288543701172,0.069315046072006226,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95038066348065753,4.2413535118103027,3.8564193248748779,74.718780517578125,,,,N,N,N,N
62,F2,FALSE,CR2Apal_36C_102,A,UNKNOWN,SYBR,None,29.576425552368164,29.448196411132812,0.18134203553199768,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96128168744066955,4.8182516098022461,4.4202213287353516,87.348167419433594,,,,N,N,N,N
63,F3,FALSE,CR2Apal_36C_102,Apal,UNKNOWN,SYBR,None,24.516275405883789,24.565288543701172,0.069315046072006226,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9424699908420745,4.2091560363769531,3.8049635887145996,74.984649658203125,,,,N,N,N,N
64,F4,FALSE,CR2Apal_36C_102,A,UNKNOWN,SYBR,None,29.319969177246094,29.448196411132812,0.18134203553199768,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.954873804465313,4.8129234313964844,4.3489589691162109,87.74493408203125,,,,N,N,N,N
65,F5,FALSE,CR2Apal_36C_103,Apal,UNKNOWN,SYBR,None,23.199190139770508,23.29661750793457,0.13778311014175415,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93679087651412118,4.4038214683532715,3.9260416030883789,74.979850769042969,,,,N,N,N,N
66,F6,FALSE,CR2Apal_36C_103,A,UNKNOWN,SYBR,None,27.341812133789062,27.608226776123047,0.37676584720611572,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95418776656781468,5.4898395538330078,4.9637260437011719,87.456619262695312,,,,N,N,N,N
